Country,Pango,Concern1,Concern2
USA,AY.39.1,0,0.0077671531622211
USA,AY.4,0,0.01041861536026248
USA,AY.43,0,0.00974226878300787
USA,AY.44,0.01733446646836803,0.18342788378889463
USA,AY.46.4,0,0.00542363688751038
USA,AY.46.6,0,0.00228125
USA,AY.47,0.01581598220311445,0.04247184423325922
USA,AY.48,0,0.0058162855996791
USA,AY.5.3,0,0.00248481501932633
USA,AY.54,0,0.02389547876912498
USA,AY.67,0,0.00717076731504143
USA,AY.75,0,0.02786709539121114
USA,AY.98.1,0,0.00327126321087065
USA,B.1,0.01771564976129177,0.645751331326696
USA,B.1.1,4.999125153098208e-4,0.0897215537985562
USA,B.1.1.222,0,0.02129337539432176
USA,B.1.1.291,4.374234508960932e-4,0.1049856184084372
USA,B.1.1.318,0,0.00595528653714732
USA,B.1.1.416,0,0.0143973673385438
USA,B.1.1.434,0,0.020992057059491
USA,B.1.1.519,0.00733621616217162,0.05047187268689859
USA,B.1.1.7,0.02066513360161971,0.6468807966416089
USA,B.1.2,0.00228085085110105,0.4989839275817477
USA,B.1.206,8.873447146749318e-4,0.04834377797672336
USA,B.1.234,0.00219336616092183,0.04974802946117069
USA,B.1.240,8.06108930937086e-4,0.06445047489823609
USA,B.1.243,7.436198665233584e-4,0.07740740740740741
USA,B.1.305,1.3122703526882796e-4,0.04194826380797017
USA,B.1.311,0,0.02336487042369395
USA,B.1.351,0,0.00820324752093034
USA,B.1.369,5.561526732821756e-4,0.04498269896193772
USA,B.1.371,0,0.02972651605231866
USA,B.1.404,0,0.00658830220874016
USA,B.1.426,3.12445322068638e-5,0.07201225740551584
USA,B.1.427,0.00649261379258629,0.09703361263603968
USA,B.1.429,0.00514909890769115,0.20731002600404508
USA,B.1.436,0,0.02818955042527339
USA,B.1.525,0,0.00423455767283439
USA,B.1.526,0.01530982078136326,0.11460922397127864
USA,B.1.561,0,0.02459893048128342
USA,B.1.564,2.187117254480466e-4,0.1380737396538751
USA,B.1.575,0,0.01075344639142545
USA,B.1.576,0,0.02353763691447215
USA,B.1.582,2.7495188342040145e-4,0.03349493168796827
USA,B.1.595,1.6872047391706452e-4,0.04700460829493087
USA,B.1.617.2,0.00972329842277601,0.0467183658029128
USA,B.1.621,0,0.02733905235308266
USA,B.1.621.1,0,0.00926010818740258
USA,B.1.623,0,0.00721719575336018
USA,B.1.637,0.00616767065763491,0.03590168461750898
USA,BA.1.1,0.31940660384432723,0.6776582540339263
USA,BA.1.1.10,0,0.00196891191709844
USA,BA.1.1.14,0,0.00453040959867604
USA,BA.1.1.17,0,0.0010679468965855
USA,BA.1.1.18,0.05242832504311745,0.09388135012002156
USA,BA.1.1.2,0,0.00594269822112609
USA,BA.1.1.8,0,0.00183087309760842
USA,BA.1.15,0.09926387882120628,0.2014480367962666
USA,BA.1.15.1,0,0.00240960862490839
USA,BA.1.15.2,0,0.00487645327227855
USA,BA.1.17,0,0.00964077548708001
USA,BA.1.17.2,0,0.0196078431372549
USA,BA.1.18,0,0.01851920855535268
USA,BA.1.19,0,0.00140117802745271
USA,BA.1.20,0.02208363536381133,0.05424376566385958
USA,BA.2,0.04761041817681905,0.48206471052442784
USA,BA.2.1,0,0.00414664648193246
USA,BA.2.10,0,0.02923113263257352
USA,BA.2.10.1,0,0.00515060933547942
USA,BA.2.12,0,0.0128057966855585
USA,BA.2.12.1,0.04845402054640438,0.6126700796670955
USA,BA.2.13,0,0.00666189506138853
USA,BA.2.18,0,0.00853383251665473
USA,BA.2.21,0,0.00510293243857257
USA,BA.2.23,0,0.00539722240505495
USA,BA.2.3,0.01319769040417926,0.09817777458928188
USA,BA.2.7,0,0.01839503334099793
USA,BA.2.9,0.01274776914040043,0.07328359279718774
USA,BA.2.9.2,0,0.01080666115507263
USA,BA.4,8.311045567025771e-4,0.15028248587570622
USA,BA.5,0.0017184492713775,0.3107344632768362
USA,BA.5.1,0,0.05310734463276836
USA,C.37,0,0.0044008434950032
USA,P.1,0.01251655960206963,0.0807938740428192
USA,P.1.10,0,0.01747338823056838
USA,P.1.13,0,0.00595528653714732
USA,P.1.17,0,0.01586185341459603
USA,P.2,0,0.00737815650005195
USA,Q.3,0,0.02519247219846022
USA,R.1,0,0.01098530178894719
USA,XB,0,0.01542047695893849
